A \cup K_1	Fr?__
\co{A \cup K_1}	FK~^W
gem \cup K_1	Eq{?
\co{gem \cup K_1}	ELBw
co-fork \cup K_1	EDaW
\co{co-fork \cup K_1}	Ey\_
net \cup K_1	FjGO?
\co{net \cup K_1}	FSvnw
P_3	Bg
\co{P_3}	BO
triangle	Bw
3K_1	B?
claw	Cs
co-claw	CJ
P_4	Ch
paw	Cx
co-paw	CE
C_4	Cr
2K_2	CK
diamond	Cz
co-diamond	CC
K_4	C~
4K_1	C?
K_5	D~{
5K_1	D??
K_{1,4}	Ds_
\co{K_{1,4}}	DJ[
K_{1,5}	Esa?
\co{K_{1,5}}	EJ\w
P_3 \cup 2K_1	Do?
\co{P_3 \cup 2K_1}	DN{
claw \cup K_1	Ds?
\co{claw \cup K_1}	DJ{
P_3 \cup P_4	Fh?GG
\co{P_3 \cup P_4}	FU~vo
3P_3	HgCG?C@
\co{3P_3}	HVzv~z}
P	DrG
\co{P}	DKs
bull	D{O
butterfly	D{c
co-butterfly	DBW
butterfly \cup K_1	E{c?
\co{butterfly \cup K_1}	EBZw
cricket	DiS
co-cricket	DTg
K_5 - e	D~k
\co{K_5 - e}	D?O
C_5	Dhc
P_2 \cup P_3	D`C
\co{P_2 \cup P_3}	D]w
W_4	Dl{
\co{W_4}	DQ?
W_4 \cup K_1	El{?
\co{W_4 \cup K_1}	EQBw
fork	DiC
co-fork	DTw
dart	DvC
co-dart	DGw
P_5	DhC
house	DUw
gem	Dh{
co-gem	DU?
K_{2,3}	D]o
K_2 \cup K_3	D`K
3K_2	E`?G
\co{3K_2}	E]~o
cross	EiD?
co-cross	ETyw
X_{37}	EhMG
\co{X_{37}}	EUpo
fish	ErCW
co-fish	EKz_
4-fan	EhFw
co-4-fan	EUw?
A	EhSG
\co{A}	EUjo
H	EgSG
\co{H}	EVjo
R	ElCO
\co{R}	EQzg
C_4 \cup P_2	El?G
\co{C_4 \cup P_2}	EQ~o
K_{3,3}	EFz_
2K_3	EwCW
K_{3,3} \cup K_1	FFz_?
\co{K_{3,3} \cup K_1}	FwC^w
3K_3	HwCW?CB
K_{3,3,3}	HFzf~z{
P_2 \cup P_4	Eh?G
\co{P_2 \cup P_4}	EU~o
E	EhC_
\co{E}	EUzW
star_{1,2,4}	Gp_GGC
co-star_{1,2,4}	GM^vvw
star_{1,2,5}	Hp_GGC@
co-star_{1,2,5}	HM^vvz}
domino	ErGW
co-domino	EKv_
domino \cup K_1	FrGW?
\co{domino \cup K_1}	FKvfw
twin-C_5	EhdG
